index,t,WT_1,WT_2,WT_3
0,0.0,0.054165709167521,0.058731724935584,0.051095403257652
1,0.208826388888889,0.059111076291213,0.063588589998076,0.054331499244814
2,0.417590277777778,0.061834734724219,0.066322424254992,0.057363383204759
3,0.626368055555556,0.067240036692753,0.068204649875953,0.05912505834434
4,0.835145833333333,0.071487058085193,0.073101091288162,0.06131577159567
5,1.04393055555556,0.075102619890341,0.078667914340567,0.068541240314495
6,1.25268055555556,0.083393151055514,0.086767146333393,0.073547328070859
7,1.46145833333333,0.089886853449446,0.093171515828555,0.078792166791232
8,1.67024305555556,0.095101165104329,0.101271022847514,0.084932406683831
9,1.87901388888889,0.106764499147936,0.111328673685115,0.095384935419119
10,2.08778472222222,0.117773831445452,0.120921920511852,0.106718771548271
11,2.2965625,0.128561658839923,0.133564987922201,0.116381982328933
12,2.50534027777778,0.142103780896407,0.148212670892354,0.129537697939765
13,2.71410416666667,0.155242445761969,0.163536807161416,0.144129272564696
14,2.922875,0.176349756580057,0.182059623448351,0.159394936209407
15,3.13165972222222,0.19388224977952,0.203560639406013,0.177729523895848
16,3.34043055555556,0.21621330260453,0.2276756994751,0.199029739766357
17,3.54920833333333,0.243316501184402,0.255635112362831,0.22478664848375
18,3.75798611111111,0.273484189981066,0.286031702180058,0.251178939856293
19,3.96675,0.307816131966284,0.320574608110227,0.28136693330299
20,4.17551388888889,0.346234922568698,0.358768011463376,0.315446646760563
21,4.38429166666667,0.387227186351999,0.401064006564118,0.356216124242066
22,4.59306944444445,0.428085411331588,0.445565541551475,0.397028916290524
23,4.80184027777778,0.475932548158273,0.495503717989568,0.442189167408589
24,5.01061805555556,0.523484092737909,0.544268806645383,0.489210676979204
25,5.21938888888889,0.574580955100632,0.595506700870007,0.539204742929665
26,5.42815277777778,0.625831793594038,0.650299073287386,0.590076534580888
27,5.63693055555556,0.679714851527541,0.705274683311763,0.644075015360342
28,5.84570833333333,0.734765660327347,0.7609778999471,0.698426112047009
29,6.05447916666667,0.792856646329706,0.823915094496708,0.754170894708092
30,6.26326388888889,0.855355014215586,0.890598006933241,0.813459278350275
31,6.47203472222222,0.92613013129936,0.967980807024816,0.879368921894752
32,6.68079166666667,1.00357167967223,1.05375831553389,0.954534982210965
33,6.88956944444445,1.09138611323534,1.1462491496177,1.0387283827401
34,7.09834027777778,1.18790277716115,1.24757508656758,1.13036804261237
35,7.30711805555556,1.29638175776493,1.35906135686292,1.23302165545591
36,7.51589583333333,1.41623868332652,1.48270689289049,1.3436637631732
37,7.72468055555556,1.54006555817414,1.60567809343548,1.46120641336838
38,7.9334375,1.67503202532441,1.73800034490929,1.58787220720293
39,8.14220833333333,1.81375017098953,1.87438202748806,1.71664716195945
40,8.35098611111111,1.950654229808,2.00589679016644,1.85610354132196
41,8.55975694444444,2.08780275355799,2.13344607591589,1.98681394788981
42,8.76853472222222,2.2102980588988,2.24561630157497,2.11546056630511
43,8.9773125,2.31985492602296,2.34902780883794,2.23599041641489
44,9.18609027777778,2.41826542443789,2.43295757059602,2.34547377360727
45,9.39486805555556,2.49270512648121,2.49627675549595,2.43561767825383
46,9.60363194444444,2.54628902850262,2.5391414759392,2.50430303497168
47,9.81240277777778,2.58067277321776,2.56950704548608,2.55789363631708
48,10.0211805555556,2.60432740340751,2.5891488844123,2.59673911330596
49,10.2299513888889,2.62127763326453,2.60119626956982,2.62127763326453
50,10.4387291666667,2.63331426888623,2.61279538665249,2.64089342097375
51,10.6475,2.64178096051162,2.61680725242618,2.65381205242968
52,10.8562708333333,2.64489777582296,2.6194810275299,2.66048990293553
53,11.0650416666667,2.64623241436609,2.62126325650726,2.66405009432102
54,11.2738125,2.64444917871466,2.62215474115688,2.66404924083664
55,11.4825902777778,2.64578623115817,2.6212627875121,2.66583018977541
56,11.6913680555556,2.64400561545834,2.61948036142159,2.66360612758303
57,11.9001388888889,2.64445471965194,2.61948371381882,2.6649448211146
58,12.1089097222222,2.64401373367766,2.61904227154576,2.66361424580236
59,12.3176805555556,2.64089967969901,2.61592508935778,2.66495552208668
60,12.5264583333333,2.64090645673281,2.61548560378691,2.66318164507214
61,12.7352361111111,2.64091371258623,2.61638537818114,2.66229824190204
62,12.9440069444444,2.6382464891992,2.61460764324611,2.66052465173681
63,13.1527847222222,2.63736171675423,2.6150609115634,2.65919544315971
64,13.3615625,2.63558501856429,2.61506731548489,2.65652968794277
65,13.570375,2.63559070362029,2.61239578029107,2.65742631194703
66,13.7790972222222,2.63693280093206,2.61284697909706,2.65832209943382
67,13.987875,2.63693689926006,2.61240476931936,2.65565338124909
68,14.1966527777778,2.63738613632095,2.61240811088031,2.65699317831156
69,14.4054305555556,2.63649694950021,2.61241072368875,2.65521436064967
70,14.6142083333333,2.63560748344404,2.61151992494341,2.65387961736608
71,14.8229861111111,2.63248750462263,2.61018263156682,2.65254411993992
72,15.0317569444444,2.63204219888525,2.6079515261501,2.65165416853046
73,15.2405347222222,2.63025846077979,2.6075054463005,2.65076325929203
74,15.4493125,2.63828452470198,2.6115220991437,2.65566334624486
75,15.6580833333333,2.63159635468285,2.60929076898274,2.65254495438919
76,15.8668680555556,2.6320418706191,2.60839756744038,2.65076263540313
77,16.075625,2.63114884077702,2.60750379325869,2.65031598892175
78,16.2844027777778,2.62891745248584,2.60303900917629,2.64541284071246
79,16.4931736111111,2.62802265446567,2.60258988582239,2.64407292778983
80,16.7019513888889,2.62534298433272,2.60124686141907,2.64540647634766
81,16.9107291666667,2.62578452282908,2.60168874752428,2.64495617548606
82,17.1195069444444,2.6289012167381,2.60302277342855,2.64584179737691
83,17.3282777777778,2.62800309913695,2.60301676826348,2.64539059979964
84,17.5370416666667,2.62799619559566,2.60211698376919,2.64582888867055
85,17.7458194444444,2.62754210394856,2.60344827332186,2.64582086495579
86,17.9545972222222,2.62619513497446,2.60165326098092,2.64581161443706
87,18.1633680555556,2.62440029503391,2.59807161653338,2.64223622647738
88,18.3721458333333,2.6248351934742,2.59806039364899,2.64311604053624
89,18.5809236111111,2.62259345842236,2.5971563448679,2.64176761975327
90,18.7896944444444,2.62391992103367,2.59848386133343,2.64443030143898
91,18.9984583333333,2.62524737717054,2.60115125425689,2.64531086918548
92,19.2072361111111,2.62568331192074,2.59801629199857,2.64307193888581
93,19.4160138888889,2.62299768406969,2.5988998573777,2.64217149233097
94,19.6247847222222,2.62432677979233,2.59889107628253,2.64260796862304
95,19.8335625,2.62253428105836,2.5970971675039,2.64215424023283
96,20.0423333333333,2.61851070656027,2.59396364002335,2.63857971194252
97,20.2511111111111,2.62117870219138,2.59708008497902,2.63946223517539
98,20.4598819444444,2.62161569988187,2.59662440513104,2.64123637795164
99,20.6686527777778,2.6220520430738,2.59661458286168,2.6416723626128
100,20.8774305555556,2.62248774283896,2.59838958208309,2.64166190416986
101,21.0862013888889,2.62247618951236,2.59659257109215,2.64075872793703
102,21.2949791666667,2.62157269951861,2.59568838047123,2.64030173663317
103,21.5037569444444,2.6206694592154,2.59389191922832,2.63850799114749
104,21.7125208333333,2.61842826634639,2.59388119980948,2.63493060555191
105,21.9212916666667,2.62109430783445,2.59163785235594,2.6349199937473
106,22.1300694444444,2.61885333754667,2.59028815795255,2.63669259806368
107,22.3388402777778,2.62018094414335,2.59250996325423,2.6380197936829
108,22.5476180555556,2.62195524075795,2.59517823690239,2.63934643560795
109,22.7563958333333,2.61837589116816,2.59159608898232,2.63443229215484
110,22.9651597222222,2.61658118153329,2.58980004062746,2.63486791785857
111,23.1739305555556,2.61523213947052,2.59023633981903,2.6330738403289
112,23.3827083333333,2.61522189278064,2.58843977390593,2.63350955699538
113,23.5914791666667,2.61431911851156,2.58976929041973,2.63305336441724
114,23.8002569444444,2.61564770600431,2.58841932452494,2.63304314425803
115,24.0090347222222,2.61786817462451,2.59064200126733,2.6357085868136
116,24.2178125,2.61696550933438,2.5919709497778,2.63569838606428
117,24.4265694444444,2.61740156889342,2.5883887359601,2.63568820993509
118,24.6353472222222,2.61248353994743,2.58971834818366,2.63478622541477
119,24.844125,2.61336553227908,2.58792193947498,2.63210092941198
